Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","076","Brésil","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","108417.015","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","076","Brésil","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","27645.976","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","076","Brésil","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","186217.07","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","441.725","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","228.677","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","213.048","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","96.681","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","096","Brunéi Darussalam","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","347.838","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","100","Bulgarie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","6979.175","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","100","Bulgarie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","3385.278","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","100","Bulgarie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","3593.896","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","100","Bulgarie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1687.49","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","100","Bulgarie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5253.037","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","854","Burkina Faso","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","21522.626","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","854","Burkina Faso","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","10718.602","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","854","Burkina Faso","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","10804.024","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","854","Burkina Faso","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","14505.434","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","854","Burkina Faso","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","6397.911","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","108","Burundi","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","12220.227","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","108","Burundi","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","6066.599","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","108","Burundi","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","6153.627","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","108","Burundi","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","10302.641","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","108","Burundi","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1636.586","X","Ciffre de sources internationales",""
